iter	Passed	Remaining
140	9200	56054
141	9250	55895
142	9310	55797
143	9412	55950
144	9500	56022
145	9579	56034
146	9627	55865
147	9669	55667
148	9714	55481
149	9757	55293
150	9812	55172
151	9921	55351
152	10013	55435
153	10130	55649
154	10292	56108
155	10365	56081
156	10478	56264
157	10525	56091
158	10571	55918
159	10634	55829
160	10711	55821
161	10789	55812
162	10880	55868
163	10973	55939
164	11056	55954
165	11117	55855
166	11158	55658
167	11200	55467
168	11241	55276
169	11295	55149
170	11345	55002
171	11388	54825
172	11430	54640
173	11505	54620
174	11665	54992
175	11738	54957
176	11803	54883
177	11845	54701
178	11889	54530
179	11933	54363
180	11994	54274
181	12086	54321
182	12163	54303
183	12215	54175
184	12283	54112
185	12365	54114
186	12464	54189
187	12564	54269
188	12616	54138
189	12659	53968
190	12738	53954
191	12803	53881
192	12859	53768
193	12915	53658
194	12984	53602
195	13040	53490
196	13105	53419
197	13198	53460
198	13281	53459
199	13371	53484
200	13416	53331
201	13482	53262
202	13529	53116
203	13598	53061
204	13653	52950
205	13740	52959
206	13790	52830
207	13837	52688
208	13896	52592
209	13994	52645
210	14136	52862
211	14269	53039
212	14354	53036
213	14426	52987
214	14475	52853
215	14519	52700
216	14570	52573
217	14643	52528
218	14698	52416
219	14744	52274
220	14796	52157
221	14856	52065
222	14907	51940
223	14972	51870
224	15066	51894
225	15148	51878
226	15217	51820
227	15265	51689
228	15368	51744
229	15434	51671
230	15504	51615
231	15565	51526
232	15632	51458
233	15691	51366
234	15740	51239
235	15786	51106
236	15841	51000
237	15908	50933
238	15989	50913
239	16047	50816
240	16109	50735
241	16155	50603
242	16200	50467
243	16245	50333
244	16312	50268
245	16361	50149
246	16408	50022
247	16473	49953
248	16534	49868
249	16607	49823
250	16666	49735
251	16806	49886
252	16967	50099
253	17106	50241
254	17227	50330
255	17325	50351
256	17421	50365
257	17527	50407
258	17628	50434
259	17699	50374
260	17741	50233
261	17786	50100
262	17837	49984
263	17948	50037
264	18020	49980
265	18123	50009
266	18172	49889
267	18238	49814
268	18304	49742
269	18378	49689
270	18450	49632
271	18558	49670
272	18644	49649
273	18693	49531
274	18737	49399
275	18784	49275
276	18833	49157
277	18900	49087
278	18962	49003
279	19017	48903
280	19067	48787
281	19141	48736
282	19219	48694
283	19282	48613
284	19342	48524
285	19408	48453
286	19453	48329
287	19500	48209
288	19548	48094
289	19595	47974
290	19660	47901
291	19709	47789
292	19755	47669
293	19799	47544
294	19875	47500
295	19945	47437
296	19988	47313
297	20035	47197
298	20082	47084
299	20147	47011
300	20191	46889
301	20235	46770
302	20280	46652
303	20353	46598
304	20411	46510
305	20470	46427
306	20550	46389
307	20624	46337
308	20671	46226
309	20717	46113
310	20764	46001
311	20805	45879
312	20861	45788
313	20915	45694
314	20959	45578
315	21005	45467
316	21048	45350
317	21100	45252
318	21153	45157
319	21198	45046
320	21242	44934
321	21286	44821
322	21340	44729
323	21391	44630
324	21436	44521
325	21481	44412
326	21527	44305
327	21584	44220
328	21651	44158
329	21708	44075
330	21763	43987
331	21839	43942
332	21885	43836
333	21931	43730
334	21971	43614
335	22017	43509
336	22072	43424
337	22122	43328
338	22164	43216
339	22209	43113
340	22252	43003
341	22304	42913
342	22350	42810
343	22390	42698
344	22430	42584
345	22474	42480
346	22526	42390
347	22580	42305
348	22625	42204
349	22668	42098
350	22710	41991
351	22766	41910
352	22813	41813
353	22860	41716
354	22913	41632
355	22970	41552
356	23053	41521
357	23110	41444
358	23154	41343
359	23209	41261
360	23252	41158
361	23294	41054
362	23338	40954
363	23381	40853
364	23430	40762
365	23486	40684
366	23532	40589
367	23574	40486
368	23619	40390
369	23679	40319
370	23725	40224
371	23769	40126
372	23814	40031
373	23857	39933
374	23913	39855
375	23961	39766
376	24006	39671
377	24052	39577
378	24109	39503
379	24194	39474
380	24259	39413
381	24321	39347
382	24365	39251
383	24414	39164
384	24468	39086
385	24511	38990
386	24553	38892
387	24596	38797
388	24659	38732
389	24728	38677
390	24782	38599
391	24831	38513
392	24887	38438
393	24938	38357
394	24982	38265
395	25030	38177
396	25076	38089
397	25139	38024
398	25190	37943
399	25238	37857
